date,score,source,target,weight
20180321,0.015170263,19,34,1
20180321,-0.319722302,19,57,1
20180321,0.415939584,24,36,1
20180321,-0.098269859,24,87,1
20180321,-0.924548103,24,93,1
20180321,-0.52246896,26,33,1
20180321,-0.155551783,26,69,1
20180321,-0.20447121399999998,26,87,1
20180321,0.033206566,27,34,1
20180321,-0.429727779,31,32,1
20180321,0.01775315,31,35,1
20180321,-0.152435297,32,35,1
20180321,-0.89753854,32,39,1
20180321,0.10209568599999999,32,42,1
20180321,0.10209568599999999,32,59,1
20180321,0.824886757,33,34,1
20180321,-0.008505045,33,35,1
20180321,-0.325024645,33,57,1
20180321,-0.01134006,34,35,1
20180321,-0.244135422,34,57,1
20180321,0.122522285,36,92,1
20180321,0.392733138,42,59,1
20180321,-0.421529968,57,93,1
20180321,-0.642766995,69,87,1
20180322,-0.7969285779999999,4,24,1
20180322,-0.156840917,4,26,1
20180322,-0.260336726,4,31,1
20180322,-0.211180655,18,19,1
20180322,0.5982409320000001,18,33,1
20180322,-0.079526153,19,33,1
20180322,0.021436301,19,34,1
20180322,-0.272821947,19,57,1
20180322,0.32851099300000003,24,36,1
20180322,-0.091716558,24,87,1
20180322,-0.918452965,24,93,1
20180322,-0.503037074,26,33,1
20180322,-0.136539741,26,69,1
20180322,-0.17447726800000002,26,87,1
20180322,-0.000473432,27,34,1
20180322,-0.42187552700000003,31,32,1
20180322,0.8418444079999999,33,34,1
20180322,-0.008777923,33,35,1
20180322,-0.307564911,33,57,1
20180322,-0.011703897,34,35,1
20180322,-0.22435936399999998,34,57,1
20180322,0.13623616,36,92,1
20180322,0.421403208,42,59,1
20180322,-0.474116821,57,93,1
20180322,-0.6283645489999999,69,87,1
20180323,-0.7558130059999999,4,24,1
20180323,-0.226782665,4,26,1
20180323,-0.292638794,4,31,1
20180323,-0.074263013,4,35,1
20180323,-0.175521701,18,19,1
20180323,0.622469478,18,33,1
20180323,0.0015442560000000001,19,33,1
20180323,0.031,19,34,1
20180323,-0.227644353,19,57,1
20180323,0.335253009,24,36,1
